Moviename,Runtime (min),Genre,Rating,MPAA_Rating,Director,Actors,Votes,Year,Gross(M),Updated Genre
Cemetery Junction,95,"Comedy, Drama",6.8,R,Ricky Gervais,"Christian Cooke, Felicity Jones, Tom Hughes, Jack Doolan",21840,2010,0.0,Comedy
Cold in July,109,"Crime, Thriller",6.8,R,Jim Mickle,"Michael C. Hall, Sam Shepard, Don Johnson, Vinessa Shaw",35554,2014,0.41,Crime
The Map of Tiny Perfect Things,98,"Comedy, Fantasy, Romance",6.8,PG-13,Ian Samuels,"Kathryn Newton, Kyle Allen, Jermaine Harris, Anna Mikami",19829,2021,0.0,Comedy
TRON: Legacy,125,"Action, Adventure, Sci-Fi",6.8,PG,Joseph Kosinski,"Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner",328328,2010,172.06,Action
Fifty Dead Men Walking,117,"Crime, Drama, Thriller",6.8,R,Kari Skogland,"Ben Kingsley, Jim Sturgess, Kevin Zegers, Natalie Press",11226,2008,0.0,Crime
Thappad,142,Drama,6.8,Not Rated,Anubhav Sinha,"Taapsee Pannu, Pavail Gulati, Kumud Mishra, Ratna Pathak Shah",25986,2020,0.0,Drama
Adventureland,107,"Comedy, Drama, Romance",6.8,R,Greg Mottola,"Jesse Eisenberg, Kristen Stewart, Ryan Reynolds, Martin Starr",158352,2009,16.03,Comedy
Terribly Happy,99,"Crime, Drama, Thriller",6.8,Unrated,Henrik Ruben Genz,"Jakob Cedergren, Lene Maria Christensen, Kim Bodnia, Lars Brygmann",6247,2008,0.07,Crime
Sherni,131,"Action, Adventure, Drama",6.8,Not Rated,Amit Masurkar,"Vidya Balan, Vijay Raaz, Sharat Saxena, Neeraj Kabi",10781,2021,0.0,Action
Yes Man,104,"Comedy, Romance",6.8,PG-13,Peyton Reed,"Jim Carrey, Zooey Deschanel, Bradley Cooper, John Michael Higgins",353133,2008,97.69,Comedy
The Burning Plain,107,"Crime, Drama, Romance",6.8,R,Guillermo Arriaga,"Charlize Theron, John Corbett, José María Yazpik, Robin Tunney",19908,2008,0.2,Crime
A Christmas Carol,96,"Animation, Adventure, Comedy",6.8,PG,Robert Zemeckis,"Jim Carrey, Gary Oldman, Colin Firth, Steve Valentine",112327,2009,137.86,Animation
The Life Ahead,94,Drama,6.8,PG-13,Edoardo Ponti,"Sophia Loren, Ibrahima Gueye, Renato Carpentieri, Iosif Diego Pirvu",13774,2020,0.0,Drama
The Imaginarium of Doctor Parnassus,123,"Adventure, Comedy, Fantasy",6.8,PG-13,Terry Gilliam,"Christopher Plummer, Lily Cole, Heath Ledger, Andrew Garfield",148045,2009,7.69,Adventure
Mammoth,125,"Drama, Romance",6.8,Not Rated,Lukas Moodysson,"Gael García Bernal, Michelle Williams, Marife Necesito, Sophie Nyweide",10020,2009,0.01,Drama
Flashbacks of a Fool,109,Drama,6.8,R,Baillie Walsh,"Daniel Craig, Harry Eden, Eve, Olivia Williams",12411,2008,0.0,Drama
Suspiria,152,"Drama, Fantasy, Horror",6.8,R,Luca Guadagnino,"Chloë Grace Moretz, Tilda Swinton, Doris Hick, Malgorzata Bela",72334,2018,2.47,Drama
Serious Men,114,"Comedy, Drama",6.8,Not Rated,Sudhir Mishra,"Nawazuddin Siddiqui, Nassar, Aakshath Das, Indira Tiwari",7256,2020,0.0,Comedy
First Love,108,"Action, Comedy, Crime",6.8,TV-MA,Takashi Miike,"Becky, Bengal, Masayuki Deai, Mami Fujioka",6559,2019,0.0,Action
Eden Lake,91,"Horror, Thriller",6.8,R,James Watkins,"Kelly Reilly, Michael Fassbender, Tara Ellis, Jack O'Connell",82668,2008,0.01,Horror
The Boys in the Band,121,Drama,6.8,R,Joe Mantello,"Jim Parsons, Zachary Quinto, Matt Bomer, Andrew Rannells",14671,2020,0.0,Drama
Hanna,111,"Action, Adventure, Drama",6.8,PG-13,Joe Wright,"Saoirse Ronan, Cate Blanchett, Eric Bana, Vicky Krieps",196681,2011,40.26,Action
Flash Point,88,"Action, Crime, Thriller",6.8,R,Wilson Yip,"Donnie Yen, Louis Koo, Ray Lui, Collin Chou",13024,2007,0.0,Action
Fair Game,108,"Biography, Drama, Thriller",6.8,PG-13,Doug Liman,"Naomi Watts, Sean Penn, Sonya Davison, Vanessa Chong",48574,2010,9.53,Biography
Cheeni Kum,140,"Comedy, Drama, Romance",6.8,Not Rated,R. Balki,"Amitabh Bachchan, Tabu, Paresh Rawal, Zohra Sehgal",5206,2007,0.66,Comedy
Hitchcock,98,"Biography, Drama, Romance",6.8,PG-13,Sacha Gervasi,"Anthony Hopkins, Helen Mirren, Scarlett Johansson, Danny Huston",75170,2012,6.01,Biography
To Each His Own Cinema,100,"Comedy, Drama",6.8,G,Theodoros Angelopoulos,"Isabelle Adjani, Pegah Ahangarani, Anouk Aimée, Leonid Alexeenko",5056,2007,0.0,Comedy
Vexille,109,"Animation, Action, Sci-Fi",6.8,PG-13,Fumihiko Sori,"Meisa Kuroki, Shôsuke Tanihara, Yasuko Matsuyuki, Akio Ôtsuka",7662,2007,0.0,Animation
Tetro,127,Drama,6.8,R,Francis Ford Coppola,"Vincent Gallo, Alden Ehrenreich, Maribel Verdú, Silvia Pérez",13027,2009,0.52,Drama
Green Zone,115,"Action, Drama, Thriller",6.8,R,Paul Greengrass,"Matt Damon, Jason Isaacs, Greg Kinnear, Igal Naor",135801,2010,35.05,Action
Freaky Deaky,90,"Comedy, Crime, Thriller",6.8,R,Charles Matthau,"Billy Burke, Christian Slater, Crispin Glover, Michael Jai White",18904,2012,0.0,Comedy
The Boys Are Back,104,Drama,6.8,PG-13,Scott Hicks,"Clive Owen, Emma Booth, Laura Fraser, George MacKay",10196,2009,0.81,Drama
Bottle Shock,110,"Comedy, Drama",6.8,PG-13,Randall Miller,"Chris Pine, Alan Rickman, Bill Pullman, Hal B. Klein",16232,2008,4.04,Comedy
Rise of the Footsoldier,119,"Action, Biography, Crime",6.8,R,Julian Gilbey,"Ricci Harnett, Terry Stone, Craig Fairbrass, Roland Manookian",20376,2007,0.0,Action
Paris,130,"Comedy, Drama, Romance",6.8,R,Cédric Klapisch,"Fabrice Luchini, Romain Duris, Joffrey Platel, Mélanie Laurent",12303,2008,1.01,Comedy
The Jane Austen Book Club,106,"Comedy, Drama, Romance",6.8,PG-13,Robin Swicord,"Kathy Baker, Hugh Dancy, Amy Brenneman, Maria Bello",27362,2007,3.57,Comedy
Mr. Peabody & Sherman,92,"Animation, Adventure, Comedy",6.8,PG,Rob Minkoff,"Ty Burrell, Max Charles, Stephen Colbert, Leslie Mann",67953,2014,111.51,Animation
Trick 'r Treat,82,"Comedy, Horror",6.8,R,Michael Dougherty,"Anna Paquin, Brian Cox, Dylan Baker, Rochelle Aytes",89588,2007,0.0,Comedy
Sunshine Cleaning,91,"Comedy, Drama",6.8,R,Christine Jeffs,"Amy Adams, Emily Blunt, Alan Arkin, Jason Spevack",71552,2008,12.06,Comedy
Inside,82,Horror,6.8,R,Alexandre Bustillo,"Alysson Paradis, Jean-Baptiste Tabourin, Claude Lulé, Dominique Frot",40013,2007,0.0,Horror
The Brothers Bloom,114,"Action, Adventure, Comedy",6.8,PG-13,Rian Johnson,"Rachel Weisz, Adrien Brody, Mark Ruffalo, Rinko Kikuchi",50400,2008,3.52,Action
Walk Hard: The Dewey Cox Story,96,"Comedy, Music",6.8,R,Jake Kasdan,"John C. Reilly, Jenna Fischer, David Krumholtz, Nat Faxon",71247,2007,18.32,Comedy
Two Days in Paris,96,"Comedy, Drama, Romance",6.8,R,Julie Delpy,"Julie Delpy, Adam Goldberg, Daniel Brühl, Marie Pillet",31055,2007,4.43,Comedy
Female Agents,148,"Drama, War",6.8,TV-MA,Jean-Paul Salomé,"Sophie Marceau, Julie Depardieu, Moritz Bleibtreu, Marie Gillain",7449,2008,0.0,Drama
Rendition,122,"Drama, Thriller",6.8,R,Gavin Hood,"Reese Witherspoon, Jake Gyllenhaal, Peter Sarsgaard, Alan Arkin",55583,2007,9.74,Drama
Warcraft,123,"Action, Adventure, Fantasy",6.8,PG-13,Duncan Jones,"Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper",257322,2016,47.37,Action
Hunting and Gathering,97,"Drama, Romance",6.8,Not Rated,Claude Berri,"Audrey Tautou, Guillaume Canet, Laurent Stocker, Françoise Bertin",11977,2007,0.0,Drama
The Boxtrolls,96,"Animation, Adventure, Comedy",6.8,PG,Graham Annable,"Ben Kingsley, Jared Harris, Nick Frost, Richard Ayoade",56919,2014,50.84,Animation
The Last Full Measure,116,"Drama, War",6.8,R,Todd Robinson,"Sebastian Stan, Alison Sudol, Asher Miles Fallica, LisaGay Hamilton",11015,2019,0.0,Drama
The Nativity Story,101,"Adventure, Drama, Family",6.8,PG,Catherine Hardwicke,"Keisha Castle-Hughes, Shohreh Aghdashloo, Oscar Isaac, Hiam Abbass",11563,2005,37.63,Adventure
He Was a Quiet Man,100,"Drama, Romance, Thriller",6.8,Not Rated,Frank A. Cappello,"Christian Slater, Elisha Cuthbert, William H. Macy, Michael DeLuise",22445,2007,0.0,Drama
We Own the Night,117,"Action, Crime, Drama",6.8,R,James Gray,"Joaquin Phoenix, Mark Wahlberg, Eva Mendes, Danny Hoch",87920,2007,28.56,Action
Eagle vs Shark,88,"Comedy, Romance",6.8,R,Taika Waititi,"Loren Taylor, Jemaine Clement, Craig Hall, Joel Tobeck",24301,2007,0.22,Comedy
Sarkar Raj,125,"Action, Crime, Drama",6.8,Not Rated,Ram Gopal Varma,"Amitabh Bachchan, Abhishek Bachchan, Aishwarya Rai Bachchan, Ravi Kale",7528,2008,1.01,Action
Big Nothing,86,"Comedy, Crime, Thriller",6.8,R,Jean-Baptiste Andrea,"David Schwimmer, Simon Pegg, Alice Eve, Jon Polito",30474,2006,0.0,Comedy
Disturbia,105,"Crime, Drama, Mystery",6.8,PG-13,D.J. Caruso,"Shia LaBeouf, David Morse, Carrie-Anne Moss, Sarah Roemer",231956,2007,80.21,Crime
The Air I Breathe,95,"Crime, Drama, Thriller",6.8,R,Jieho Lee,"Brendan Fraser, Sarah Michelle Gellar, Andy Garcia, Kevin Bacon",34065,2007,0.03,Crime
Interview,84,Drama,6.8,R,Steve Buscemi,"Sienna Miller, Steve Buscemi, Michael Buscemi, Tara Elders",13585,2007,0.42,Drama
Bon Cop Bad Cop,116,"Action, Comedy, Crime",6.8,R,Erik Canuel,"Michel Beaudry, Patrice Bélanger, Pierre Boudreau, Sarain Boylan",12545,2006,0.0,Action
Special,81,"Comedy, Drama, Sci-Fi",6.8,R,Hal Haberman,"Michael Rapaport, Paul Blackthorne, Josh Peck, Robert Baker",5632,2006,0.01,Comedy
The Tree of Life,139,"Drama, Fantasy",6.8,PG-13,Terrence Malick,"Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken",174444,2011,13.3,Drama
21,123,"Crime, Drama, History",6.8,PG-13,Robert Luketic,"Jim Sturgess, Kate Bosworth, Kevin Spacey, Aaron Yoo",243270,2008,81.16,Crime
Unstoppable,98,"Action, Thriller",6.8,PG-13,Tony Scott,"Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee",193929,2010,81.56,Action
2:37,91,Drama,6.8,16+,Murali K. Thalluri,"Teresa Palmer, Frank Sweet, Sam Harris, Charles Baird",7157,2006,0.0,Drama
Dumplings,91,"Drama, Horror",6.8,Not Rated,Fruit Chan,"Pauline Lau, Po-Lin Lau, Tony Ka Fai Leung, Bai Ling",9246,2004,0.0,Drama
Red Road,113,"Drama, Mystery, Thriller",6.8,Not Rated,Andrea Arnold,"Kate Dickie, Tony Curran, Martin Compston, Natalie Press",12895,2006,0.15,Drama
Old Joy,76,Drama,6.8,Unrated,Kelly Reichardt,"Daniel London, Will Oldham, Tanya Smith, Robin Rosenberg",7669,2006,0.26,Drama
The History Boys,109,"Comedy, Drama, Romance",6.8,R,Nicholas Hytner,"Richard Griffiths, Frances de la Tour, Clive Merrison, Samuel Anderson",20850,2006,2.71,Comedy
Lights in the Dusk,78,"Crime, Drama",6.8,Not Rated,Aki Kaurismäki,"Janne Hyytiäinen, Maria Järvenhelmi, Maria Heiskanen, Ilkka Koivula",6919,2006,0.01,Crime
The Hunting Party,101,"Adventure, Comedy, Drama",6.8,R,Richard Shepard,"Richard Gere, Terrence Howard, Jesse Eisenberg, Gordana Vukres",25304,2007,0.97,Adventure
Snow Angels,107,"Crime, Drama, Romance",6.8,R,David Gordon Green,"Kate Beckinsale, Sam Rockwell, Michael Angarano, Jeannetta Arnette",12713,2007,0.4,Crime
Horton Hears a Who!,86,"Animation, Adventure, Comedy",6.8,G,Jimmy Hayward,"Jim Carrey, Steve Carell, Carol Burnett, Will Arnett",137022,2008,154.53,Animation
1408,104,"Fantasy, Horror, Mystery",6.8,PG-13,Mikael Håfström,"John Cusack, Samuel L. Jackson, Mary McCormack, Tony Shalhoub",266228,2007,71.99,Fantasy
Keeping Mum,99,"Comedy, Crime",6.8,R,Niall Johnson,"Rowan Atkinson, Kristin Scott Thomas, Maggie Smith, Patrick Swayze",34406,2005,1.62,Comedy
Before We Go,95,"Comedy, Drama, Romance",6.8,PG-13,Chris Evans,"Chris Evans, Alice Eve, Emma Fitzpatrick, John Cullum",56737,2014,0.04,Comedy
Danger Close,118,"Action, Drama, War",6.8,R,Kriv Stenders,"Travis Fimmel, Toby Blome, Alexander England, Aaron Glenane",12102,2019,0.0,Action
Two Sons of Francisco,132,"Biography, Drama, Music",6.8,Not Rated,Breno Silveira,"Ângelo Antônio, Dira Paes, Márcio Kieling, Thiago Mendonça",5534,2005,0.0,Biography
Ice Age 2: The Meltdown,91,"Animation, Adventure, Comedy",6.8,PG,Carlos Saldanha,"Ray Romano, John Leguizamo, Denis Leary, Seann William Scott",271050,2006,195.33,Animation
The Uninvited Guest,90,"Drama, Horror, Mystery",6.8,R,Guillem Morales,"Andoni Gracia, Mónica López, Francesc Garrido, Agustí Villaronga",5797,2004,0.0,Drama
Kidulthood,89,"Crime, Drama, Romance",6.8,R,Menhaj Huda,"Aml Ameen, Red Madrell, Noel Clarke, Adam Deacon",18976,2006,0.0,Crime
Boy Culture,88,"Drama, Romance",6.8,Unrated,Q. Allan Brocka,"Derek Magyar, George Jonson, Patrick Bauchau, Darryl Stephens",5717,2006,0.22,Drama
Role Models,99,Comedy,6.8,R,David Wain,"Paul Rudd, Seann William Scott, Elizabeth Banks, Christopher Mintz-Plasse",227993,2008,67.29,Comedy
