Moviename,Runtime (min),Genre,Rating,MPAA_Rating,Director,Actors,Votes,Year,Gross (M),Updated Genre
Around the World in 80 Days,175,"Adventure, Comedy, Family",6.8,G,Michael Anderson,"David Niven, Cantinflas, Finlay Currie, Robert Morley",26735,1956,42.0,Adventure
Marty,90,"Drama, Romance",7.7,Not Rated,Delbert Mann,"Ernest Borgnine, Betsy Blair, Esther Minciotti, Augusta Ciolli",23648,1955,0.0,Drama
On the Waterfront,108,"Crime, Drama, Thriller",8.1,Approved,Elia Kazan,"Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger",151291,1954,9.6,Crime
From Here to Eternity,118,"Drama, Romance, War",7.6,Passed,Fred Zinnemann,"Burt Lancaster, Montgomery Clift, Deborah Kerr, Donna Reed",46086,1953,30.5,Drama
The Greatest Show on Earth,152,"Drama, Family, Romance",6.6,Passed,Cecil B. DeMille,"James Stewart, Charlton Heston, Betty Hutton, Cornel Wilde",14214,1952,36.0,Drama
An American in Paris,114,"Drama, Musical, Romance",7.2,Passed,Vincente Minnelli,"Gene Kelly, Leslie Caron, Oscar Levant, Georges Guétary",32942,1951,4.5,Drama
All About Eve,138,Drama,8.2,Passed,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm",128386,1950,0.01,Drama
All the King's Men,110,"Drama, Film-Noir",7.5,Approved,Robert Rossen,"Broderick Crawford, John Ireland, Joanne Dru, John Derek",14649,1949,0.0,Drama
Hamlet,154,Drama,7.6,Approved,Laurence Olivier,"Laurence Olivier, Jean Simmons, John Laurie, Esmond Knight",16556,1948,0.0,Drama
Gentleman's Agreement,118,"Drama, Romance",7.2,Not Rated,Elia Kazan,"Gregory Peck, Dorothy McGuire, John Garfield, Celeste Holm",16027,1947,0.0,Drama
The Best Years of Our Lives,170,"Drama, Romance, War",8.1,Approved,William Wyler,"Myrna Loy, Dana Andrews, Fredric March, Teresa Wright",62128,1946,23.65,Drama
The Lost Weekend,101,"Drama, Film-Noir",7.9,Passed,Billy Wilder,"Ray Milland, Jane Wyman, Phillip Terry, Howard Da Silva",36081,1945,9.46,Drama
Going My Way,126,"Comedy, Drama, Music",7.1,Passed,Leo McCarey,"Bing Crosby, Barry Fitzgerald, Frank McHugh, James Brown",11732,1944,16.3,Comedy
Mrs. Miniver,134,"Drama, Romance, War",7.6,Not Rated,William Wyler,"Greer Garson, Walter Pidgeon, Teresa Wright, May Whitty",17310,1942,13.5,Drama
Casablanca,102,"Drama, Romance, War",8.5,PG,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains",554430,1942,1.02,Drama
How Green Was My Valley,118,"Drama, Family",7.7,Passed,John Ford,"Walter Pidgeon, Maureen O'Hara, Anna Lee, Donald Crisp",23550,1941,0.0,Drama
Rebecca,130,"Drama, Film-Noir, Mystery",8.1,Approved,Alfred Hitchcock,"Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson",133816,1940,4.36,Drama
Gone with the Wind,238,"Drama, History, Romance",8.1,Passed,Victor Fleming,"Clark Gable, Vivien Leigh, Thomas Mitchell, Barbara O'Neil",307391,1939,198.68,Drama
You Can't Take It with You,126,"Comedy, Drama, Romance",7.9,Passed,Frank Capra,"Jean Arthur, James Stewart, Lionel Barrymore, Edward Arnold",25166,1938,4.66,Comedy
The Life of Emile Zola,116,"Biography, Drama",7.2,Passed,William Dieterle,"Paul Muni, Gale Sondergaard, Joseph Schildkraut, Gloria Holden",8042,1937,0.0,Biography
